User Account Name,Followers,Audience Country
finnwolfhardofficial,21100000,Brazil
iambeckyg,29300000,Mexico
bhuvan.bam22,14100000,India
anushkasen0408,32200000,India
_imyour_joy,13200000,Indonesia
taina,15300000,Brazil
tinistoessel,17100000,Argentina
natashawilona12,37000000,Indonesia
emrata,28900000,United States
somsomi0309,13200000,Indonesia
rohittt_09_,19600000,India
tatawerneck,51500000,Brazil
heybiblee,13300000,Indonesia
ashishchanchlani,12500000,India
ssinz7,13300000,Indonesia
3gerardpique,19600000,Spain
bbrightvc,10700000,Indonesia
lestykejora,24500000,Indonesia
hegdepooja,17400000,India
onyourm__ark,7800000,Indonesia
simoneses,33400000,Brazil
itzy.all.in.us,14800000,Indonesia
vickykaushal09,12800000,India
vinijr,14300000,Brazil
lilbaby,18000000,United States
bellathorne,25100000,United States
jojotodynho,21200000,Brazil
luissuarez9,42900000,Brazil
hyunah_aa,17200000,South Korea
brunomars,24600000,Brazil
kanyewest,11000000,United States
yuyacst,17100000,Mexico
tigerjackieshroff,33400000,India
soohyun_k216,13100000,Indonesia
avneetkaur_13,28800000,India
jin_bighitentertainment,8800000,Indonesia
gessicakayane,18700000,Brazil
sydney_sweeney,7300000,United States
_rl9,24200000,Poland
zachking,24500000,Indonesia
emilia_clarke,27100000,India
bretmanrock,18100000,United States
shehnaazgill,11100000,India
krisjenner,45800000,United States
sidmalhotra,18200000,India
jamescharles,23600000,United States
nicki.nicole,11200000,Argentina
paulwesley,12100000,Brazil
janhvikapoor,15400000,India
lilyjcollins,26500000,United States
liampayne,24000000,United States
taeyeon_ss,17800000,South Korea
rauwalejandro,12700000,Spain
danialves,35000000,Brazil
bighit_ent,13200000,Indonesia
perrieedwards,14200000,Brazil
sophiet,14900000,United States
vancityreynolds,41200000,United States
larasilva,16400000,Brazil
marshmellomusic,29300000,India
postmalone,22400000,United States
fernanfloo,9900000,Mexico
willsmith,58000000,United States
fuji_an,8300000,Indonesia
urvashirautela,45500000,India
taeoxo_nct,8000000,Indonesia
kyo1122,12700000,Indonesia
psg,56000000,Brazil
kajalaggarwalofficial,20800000,India
sachintendulkar,32900000,India
greeicy,19700000,Colombia
xeesoxee,8100000,Indonesia
lukamodric10,21000000,Spain
thebursin,10100000,Russia
chiaraferragni,26300000,Italy
marvelstudios,35500000,India
barackobama,35300000,United States
luisasonza,27200000,Brazil
nct127,13500000,Indonesia
jhope_bighitentertainment,8500000,Brazil
iamferv,8200000,Mexico
prattprattpratt,34800000,United States
nattinatasha,34900000,Mexico
marimaria,19700000,Brazil
antogriezmann,35300000,Spain
hi_sseulgi,11500000,Indonesia
kapilsharma,38500000,India
realbarbarapalvin,17300000,Russia
zefelipecantor,22000000,Brazil
neslihanatagul,12800000,Turkey
johnnyjsuh,7800000,Indonesia
zidane,30700000,Spain
fedez,13300000,Italy
nct,13100000,Indonesia
tenlee_1001,9200000,Indonesia
leonardodicaprio,52300000,United States
enhypen,8700000,Indonesia
pubity,30600000,United States
m_kayoung,7700000,Indonesia
mirella,26100000,Brazil
louispartridge_,7700000,United States
bambam1a,15700000,Brazil
future,18700000,United States
ncentineo,17100000,Brazil
suga_bighitentertainment,8100000,Indonesia
lizgillz,13800000,Mexico
davido,22800000,Nigeria
florencepugh,7000000,United States
viihtube,22400000,Brazil
marinaruybarbosa,39500000,Brazil
khabib_nurmagomedov,32700000,Russia
iammichelemorroneofficial,12900000,Brazil
wow_kimsohyun,11900000,Indonesia
caradelevingne,43500000,United States
melissamelmaia,11300000,Brazil
_agentgirl_,19200000,Russia
marvel,61300000,United States
lacasadepapel,13700000,Brazil
aespa_official,7800000,Indonesia
asaprocky,14400000,United States
marktuan,11900000,Thailand
juanpazurita,28100000,Mexico
riyaz.14,24900000,India
camilo,25800000,Argentina
jessicah_o,9500000,United States
offsetyrn,19600000,United States
avani,18600000,United States
serna_amini,6700000,Iran
joaogomescantor,10100000,Brazil
maddieziegler,13800000,United States
dntlrdl,5600000,Indonesia
nct_dream,8800000,Indonesia
gusttavolima,42500000,Brazil
lildurk,12500000,United States
golfarahani,12300000,Iran
rahulkl,11600000,India
ler_chek,10700000,Russia
awez_darbar,15400000,India
houseofhighlights,31400000,United States
